unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.61568E+12,14/3/2021 0:00,ETH/USDT,1922.35,1929.27,1913.21,1923.34,5224.65986,10032109.37,8784
1.61559E+12,13/3/2021 0:00,ETH/USDT,1766.13,1944.3,1727.75,1922.35,926283.2264,1718553132,1265904
1.61551E+12,12/3/2021 0:00,ETH/USDT,1825.78,1841.88,1719.72,1766.1,869564.6361,1542873062,1126153
1.61542E+12,11/3/2021 0:00,ETH/USDT,1795.28,1846.7,1725,1825.78,909011.4961,1627027458,1023958
1.61533E+12,10/3/2021 0:00,ETH/USDT,1870.5,1877.69,1757,1795.12,937230.6283,1706230875,1098051
1.61525E+12,9/3/2021 0:00,ETH/USDT,1833.22,1870.77,1798.2,1870.51,857229.4786,1570286249,1196670
1.61516E+12,8/3/2021 0:00,ETH/USDT,1726.46,1843.59,1664.96,1833.18,1149711.4,1995142129,1407402
1.61508E+12,7/3/2021 0:00,ETH/USDT,1650.68,1734.16,1630.35,1726.16,848470.7814,1414988218,1166072
1.61499E+12,6/3/2021 0:00,ETH/USDT,1528.08,1671.58,1513.03,1650.35,1013300.939,1611851702,1188531
1.6149E+12,5/3/2021 0:00,ETH/USDT,1539.22,1548.96,1441.66,1528.31,910786.2898,1355798089,1000913
1.61482E+12,4/3/2021 0:00,ETH/USDT,1567.68,1624.87,1506.36,1539.23,946365.6709,1476463518,1125118
1.61473E+12,3/3/2021 0:00,ETH/USDT,1486.79,1656.94,1475.47,1567.69,1054846.315,1676300215,1237215
1.61464E+12,2/3/2021 0:00,ETH/USDT,1570,1602.9,1455.52,1486.78,1061142.387,1627312283,966176
1.61456E+12,1/3/2021 0:00,ETH/USDT,1418.67,1572,1409.91,1569.86,1094695.178,1642627276,989006
1.61447E+12,28/2/2021 0:00,ETH/USDT,1458.27,1468.75,1293.18,1419.18,1410207.563,1929140047,1190546
1.61438E+12,27/2/2021 0:00,ETH/USDT,1444.56,1529,1425,1458.13,927423.0475,1375946816,954919
1.6143E+12,26/2/2021 0:00,ETH/USDT,1482.08,1562.25,1400,1444.59,1355973.294,2004016547,1298739
1.61421E+12,25/2/2021 0:00,ETH/USDT,1623.16,1671.59,1459.16,1481.75,1032670.794,1650582277,1110019
1.61412E+12,24/2/2021 0:00,ETH/USDT,1577.79,1712.7,1500.2,1623.39,1384388.817,2261264845,1319936
1.61404E+12,23/2/2021 0:00,ETH/USDT,1777.42,1782.39,1355,1577.89,2547837.821,3931407908,2396626
1.61395E+12,22/2/2021 0:00,ETH/USDT,1933.54,1936.29,1551,1777.58,1807244.981,3200483177,1799926
